Town Name ,State,StateABB,Latitude,Longitude,YearEst,DecadeEst,Existing,Incorporated,YearInc,Source1,Source2,Source3
Harveysburg,Ohio,US-OH,39.5003977,-84.003889,1829,1820-1829,Yes,Yes,1844,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.",,
New Bremen,Ohio,US-OH,40.436389,-84.379444,1846,1840-1849,No,No,N/A,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.",https://www.shelbycountyhistory.org/schs/blackhistory/randolphsohio.htm,
Poke Patch,Ohio,US-OH,38.814654,-82.560196,1819,1810-1819,No,No,N/A,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.",https://blackthen.com/poke-patch-settlement-predominantly-african-american-community-ohio/,"https://ohiohistorycentral.org/w/Poke_Patch_Settlement#:~:text=According%20to%20some%20accounts%2C%20as,separate%20community%20for%20African%20Americans."
Ripley,Ohio,US-OH,38.739444,-83.841111,1822,1820-1829,Yes,No,N/A,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.",http://dbs.ohiohistory.org/africanam/html/paged73d.html?ID=4598,https://www.undergroundrailroadconductor.com/Ripley.htm
Stafford,Ohio,US-OH,39.713333,-81.2775,1820s,1820-1829,Yes,Yes,1839,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.",,
Wilberforce,Ohio,US-OH,39.715833,-83.88,1856,1850-1859,Yes,No,N/A,"LaRoche, C. J. (2014). Free Black communities and the Underground Railroad: the geography of resistance. Urbana, Chicago, and Springfield: University of Illinois Press.",,
Marshall Town (Marshalltown),Ohio,US-OH,40.0145935,-84.3310543,1847,1840-1849,No,No,N/A,Piqua Public Library. (n.d.). The Randolph Freed People. https://piqualibrary.org/index.php/content/randolph-freedpeople,https://www.ohiohistory.org/learn/collections/history/history-blog/2017/february-2017/randolphfreedpeople3,http://pleasanthillhistorycenter.com/places/marshalltown
Hanktown,Ohio,US-OH,39.987762,-84.38178,1846,1840-1849,No,No,N/A,https://www.ohiohistory.org/learn/collections/history/history-blog/2017/february-2017/randolphfreedpeople3,https://remarkableohio.org/index.php?/category/1085,
Rossville,Ohio,US-OH,40.1572498,-84.236657,1857,1850-1859,No,No,N/A,https://www.shelbycountyhistory.org/schs/blackhistory/rossville.htm,https://www.ohiohistory.org/learn/collections/history/history-blog/2017/february-2017/randolphfreedpeople3,
Rumley,Ohio,US-OH,40.4169733,-84.2526246,1830,1830-1839,No,No,N/A,"Rowe, J. (2009). Mixing It up: Early African American Settlements in Northwestern Ohio. Journal of Black Studies, 39(6), 924-936. Retrieved June 15, 2021, from http://www.jstor.org/stable/40282607",https://www.shelbycountyhistory.org/schs/blackhistory/rumley.htm,
Wren,Ohio,US-OH,40.800536,-84.7790226,1837,1830-1839,No,No,N/A,"Rowe, J. Invisible in Plain Sight: Self-Determination Strategies of Free Blacks in the Old Northwest. Peter Lang.","Rowe, J. (2009). Mixing It up: Early African American Settlements in Northwestern Ohio. Journal of Black Studies, 39(6), 924-936. Retrieved June 15, 2021, from http://www.jstor.org/stable/40282607",
Lincoln Heights,Ohio,US-OH,39.2428836,-84.4655597,1923,1920-1929,Yes,Yes,1947,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.",Alana Semuels. (2015 Jul 13). The Destruction of a Black Suburb. The Atlantic. https://www.theatlantic.com/business/archive/2015/07/lincoln-heights-black-suburb/398303/,https://www.vlho.org/residents/village_history.php
Urbancrest,Ohio,US-OH,39.9023061,-83.0931887,1889,1880-1889,Yes,Yes,1948,"https://www.villageofurbancrestoh.us/#:~:text=The%20Historical%20Village%20of%20Urbancrest.,the%20population%20is%201000%2D1200.",,
Arkansas Colored,Oklahoma,US-OK,34.285549,-96.788899,1867,1860-1869,No,No,N/A,"http://www.african-nativeamerican.com/6-towns.htm   THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907:
A STUDY IN RACIAL DISCRIMINATION (pg 64)  
",,
Bailey,Oklahoma,US-OK,34.715035,-97.796517,1886,1880-1889,No,No,N/A,"THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907:
A STUDY IN RACIAL DISCRIMINATION  Bailey Cemetery  ",,
Boggy Bend,Oklahoma,US-OK,34.494801,-96.077781,1865-1920,1860-1920,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,http://www.oklahomahistory.net/newsletters/ttnewsxb.html ,
Boley,Oklahoma,US-OK,35.493339,-96.483686,1903,1900-1909,Yes,Yes,1905,"Slocum, Karla. Black towns, Black futures: the enduring allure of a Black place in the American West. UNC Press Books, 2019.  |   Stuckey, Melissa Nicole. All men up: Race, rights, and power in the all-black town of Boley, Oklahoma, 1903-1939. Yale University, 2009.   |   Taylor, Joseph. ""The Rise and Decline of a Utopian Community, Boley, Oklahoma."" Negro History Bulletin 3, no. 6 (1940): 90-93. ","Boley, OK History  Boley, Black Past  https://npgallery.nps.gov/NRHP/GetAsset/NHLS/75001568_text  Boley Rodeo  Oral Histories  ",
Bookertee,Oklahoma,US-OK,35.362489,-96.085052,1900s/1910s,1900-1910,No,No,N/A,http://www.african-nativeamerican.com/6-towns.htm Bookertee Newspaper  ,,
Brooksville,Oklahoma,US-OK,35.198138,-96.968092,1903,1900-1909,Yes,Yes,N/A,"Oklahoma Historical Society, Brooksville   ",,
Canadian Colored,Oklahoma,US-OK,34.937858,-95.945421,1860s,1860-1869,No,No,N/A,http://www.african-nativeamerican.com/6-towns.htm http://www.thecreekfreedmen.com/id17.html ,,
Chase,Oklahoma,US-OK,35.87083,-95.50694,1903,1900-1909,No,No,N/A,http://www.african-nativeamerican.com/6-towns.htm ,,
Cimmaron City,Oklahoma,US-OK,35.885,-97.602778,1865-1920,1860-1920,No,No,N/A,http://plainshumanities.unl.edu/encyclopedia/doc/egp.afam.006,https://www.okhistory.org/publications/enc/entry.php?entry=AL009  https://www.okhistory.org/publications/enc/entry.php?entry=CI002 ,
Clarksville,Oklahoma,US-OK,35.826442,-95.515367,N/A,1865-1900,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,"Oral history with a resident from Clarksville, OK   ",
Clearview,Oklahoma,US-OK,35.39694,-96.18583,1903,1900-1909,Yes,Yes,N/A,"OK Historical Society, Clearview  Tulsa World  NPR  Youtube video on Clearview   Waymarker  ",,
Douglas,Oklahoma,US-OK,36.260451,-97.667488,1894,1890-1899,No,No,N/A,OHS All Black Towns   https://www.okhistory.org/publications/enc/entry.php?entry=DO009 ,Southern Heights Heritage Center and Museum ,
Earlsboro,Oklahoma,US-OK,35.296944,-96.798333,1891,1890-1899,Unsure,Yes,N/A,"OHS, Earlsboro  Historical accounty from Pottawatomie County  Youtube video: ""Remembering Earlsboro, Pottowatamie county, Oklahoma""",,
Emanuel,Oklahoma,US-OK,35.730126,-98.468574,N/A,1865-1920,No,No,N/A,https://www.okhistory.org/publications/enc/entry.php?entry=AL009,OHS All Black Towns   ,
Ferguson,Oklahoma,US-OK,35.33472,-94.63667,1901,1900-1909,No,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907;
A STUDY IN RACIAL DISCRIMINATION
"" Diss. 1966: 63-64.",,
Foreman,Oklahoma,US-OK,35.41444,-94.4575,1898,1890-1999,No,No,N/A,"Roberts, Alaina E. ""I've Been Here All the While: Black Freedom on Native Land. University of Pennsylvania Press. 2021: 62-63   |  TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907;
A STUDY IN RACIAL DISCRIMINATION
"" Diss. 1966: 72.",Source on Zach Foreman  Cherokee Nation article on Zach Foreman  ,
Gibson Station,Oklahoma,US-OK,35.95556,-95.37806,1870,1870-1879,No,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907;
A STUDY IN RACIAL DISCRIMINATION
"" Diss. 1966: 65.",Tulsa World (mentioned briefly)  ,
Grayson,Oklahoma,US-OK,35.503198,-95.873018,1902,1900-1909,Yes,Yes,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907;
A STUDY IN RACIAL DISCRIMINATION
"" Diss. 1966: 71-72.","OHS, Grayson  Youtube: Oklahoma's Black Towns: Grayson, Small Town, Big Legacy   ",Grayson Facebook Page  
"Greenwood, Tulsa",Oklahoma,US-OK,36.160038,-95.987976,1906,1900-1909,Unsure,Yes,1898,"Brophy, Alfred L. Reconstructing the dreamland: The Tulsa riot of 1921: Race, reparations, and reconciliation. Oxford University Press, 2003.  |   Messer, Chris M., Thomas E. Shriver, and Alison E. Adams. ""The destruction of Black wall street: Tulsa's 1921 riot and the eradication of accumulated wealth."" American Journal of Economics and Sociology 77, no. 3-4 (2018): 789-819.  |  ","Tulsa History  OHS, Greenwood District  https://www.tulsa2021.org/history  Black Past, Greenwood  https://www.tulsa2021.org/ ",https://www.greenwoodculturalcenter.org/ 
Homer,Oklahoma,US-OK,34.50889,-96.96972,N/A,1865-1920,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,https://www.okhistory.org/publications/enc/entry.php?entry=AL009 ,
Huttonville,Oklahoma,US-OK,35.01667,-95.61722,1900-1910,1900-1909,No,No,N/A,https://www.thirteen.org/wnet/aalives/stories/122.html  OHS Source  ,,
Iconium,Oklahoma,US-OK,35.869036,-97.185718,N/A,1865-1920,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,"Logan County Historical Society Blog post, Iconium   ""Oklahoma Place Names"" by George Shirk (1974) (pg 122). ",
IXL,Oklahoma,US-OK,35.522572,-96.388273,1900,1900-1909,Yes,Yes,2001,"OHS, IXL  Oklahoma's Strangely Named Towns  ",,
Keywest,Oklahoma,US-OK,35.704923,-96.626584,N/A,1865-1920,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,OHS Map   ,
Langston,Oklahoma,US-OK,35.945311,-97.26139,1890,1890-1999,Yes,Yes,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907;
A STUDY IN RACIAL DISCRIMINATION
"" Diss. 1966: 44-50.","OHS, Langston   History of Langston University  http://cityoflangston.com/  Black Past, Langston  The Langston City Herald (Langston City, O.T. [Okla.]) 1891-1902  ",
Lee,Oklahoma,US-OK,35.682872,-95.669152,N/A,1865-1920,No,No,N/A,OHS Source  ,,
Lewisville,Oklahoma,US-OK,35.121049,-95.277247,N/A,1865-1920,No,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907;
A STUDY IN RACIAL DISCRIMINATION
"" Diss. 1966: 73",Potentially the Church phone number  ,
Liberty,Oklahoma,US-OK,36.07861,-95.9725,1893,1890-1899,Unsure,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907;
A STUDY IN RACIAL DISCRIMINATION
"" Diss. 1966: 61-62",,
Lima,Oklahoma,US-OK,35.173815,-96.599672,1904,1900-1909,Yes,Yes,1913,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907;
A STUDY IN RACIAL DISCRIMINATION
"" Diss. 1966: 74","OHS, Lima  NRHP Listing  The Lima Observer (Lima, Seminole County, Okla.) 191?-191?    ",13 Black Towns Tour  
Lincoln (Lincoln City),Oklahoma,US-OK,35.63417,-96.84889,1889,1880-1889,No,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907;
A STUDY IN RACIAL DISCRIMINATION
"" Diss. 1966: 59-60","OHS, Lincoln City  http://www.african-nativeamerican.com/6-towns.htm ",
Mabelle,Oklahoma,US-OK,35.76028,-96.73583,N/A,1865-1920,No,No,N/A,https://www.okhistory.org/publications/enc/entry.php?entry=AL009,,
Macedonia,Oklahoma,US-OK,35.77,-95.36472,N/A,1865-1920,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,,
Mantu (Manitou?),Oklahoma,US-OK,34.507113,-98.980911,N/A,1865-1920,No,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 59",https://www.okhistory.org/publications/enc/entry.php?entry=MA012,
Marshalltown,Oklahoma,US-OK,35.959143,-95.651804,1860s or 1870s,1860-1869,No,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 65",http://www.african-nativeamerican.com/6-towns.htm OHS Source  ,
Melvin,Oklahoma,US-OK,35.92056,-95.18278,N/A,1865-1920,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,,
North Fork (Town) Colored,Oklahoma,US-OK,35.53056,-95.48583,1860s,1860-1869,No,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 59","http://www.african-nativeamerican.com/6-towns.htm    Foreman, Carolyn Thomas. ""NORTH FORK TOWN."" Chronicles of Oklahoma.   (double check Foreman source! May be Texas) http://www.thecreekfreedmen.com/id17.html ",
Oberlin,Oklahoma,US-OK,33.875528,-95.851381,1897,1890-1899,No,No,N/A,Article published by the Bryan County Genealogy Library  ,,
Overton,Oklahoma,US-OK,N/A,N/A,1900,1900-1909,No,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 65-66",,
Pleasant Valley,Oklahoma,US-OK,35.40528,-97.65333,1904,1900-1909,No,No,N/A,"""Oklahoma Place Names"" by George Shirk (1974): 193",OHS Map   ,
Redbird (Red Bird),Oklahoma,US-OK,35.885765,-95.58643,1902,1900-1909,Yes,Yes,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 68","OHS, Red Bird   http://www.redbirdok.org/  Tulsa World  http://www.african-nativeamerican.com/6-towns.htm ",
Rentiesville,Oklahoma,US-OK,35.521394,-95.495098,1903,1900-1909,Yes,Yes,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 67-68","http://www.african-nativeamerican.com/6-towns.htm  OHS, Rentiesville  ",Honey Springs Battlefield and Visitor Center  
Rusk,Oklahoma,US-OK,35.449958,-96.4980729,N/A,1865-1920,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,,
Sanders,Oklahoma,US-OK,36.8148053,-95.5197343,N/A,1865-1920,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,OHS Source  ,
Slick,Oklahoma,US-OK,35.776938,-96.266069,1920,1920-1929,No,No,N/A,"OHS, Slick  https://abandonedok.com/slick-ok/ ",,
Summit,Oklahoma,US-OK,35.665889,-95.422652,1896,1890-1899,Yes,Yes,1980,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 72-73","OHS, Summit  ",
Taft,Oklahoma,US-OK,35.761598,-95.54631,1902,1900-1909,Yes,Yes,N/A,"Gray, Linda. ""Taft: Town on the Black Frontier,"" The Chronicles of Oklahoma 66 (Winter 1988–89).   |   TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 70.","OHS, Taft  http://www.african-nativeamerican.com/6-towns.htm  Taft Enterprise (Taft, Okla.) 1910-191?  Tulsa World   Youtube: Photojournal: Taft, Oklahoma ",
Tatums,Oklahoma,US-OK,34.482879,-97.46178,1895,1890-1899,Yes,Yes,1896,"Ragsdale, Rhonda M. ""A PLACE TO CALL HOME: A STUDY OF THE SELF-SEGREGATED COMMUNITY OF TATUMS, OKLAHOMA, 1894-1970"" https://digital.library.unt.edu/ark:/67531/metadc4842/m2/1/high_res_d/thesis.pdf   |    TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 71","OHS, Tatums  http://www.tatums.us/index.html   Article featuring descendants of Tatums  ",
Tullahassee,Oklahoma,US-OK,35.834831,-95.437467,1850,1850-1859,Yes,Yes,1902,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 64","OHS, Tullahassee   https://en.wikipedia.org/wiki/Tullahassee,_Oklahoma  https://www.muskogeephoenix.com/news/three-forks-history-tullahassee-is-oldest-black-town/article_0c2f6336-5091-5859-bed2-89f7d038eda8.html  https://catalog.archives.gov/id/86512306  http://www.african-nativeamerican.com/6-towns.htm ",
Udora,Oklahoma,US-OK,35.761489,-98.260769,N/A,1865-1920,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,https://www.okhistory.org/publications/enc/viewer?entry=AL009&id=26000#page/0/mode/1up  https://www.okcemeteries.net/blaine/udora/udora.htm ,
Vernon,Oklahoma,US-OK,35.21567,-95.925861,1911,1910-1919,Yes,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 73","https://www.okhistory.org/publications/enc/entry?entry=VE004  https://en.wikipedia.org/wiki/Vernon,_Oklahoma   https://catalog.archives.gov/id/86511503  https://tulsaworld.com/news/local/in-one-of-oklahomas-historic-all-black-towns-the-mayor-hopes-for-mere-survival/article_b8fda2ca-658f-597d-85b4-f22540e3a062.html ",
Wellston Colony,Oklahoma,US-OK,35.690833,-97.063056,1900,1900-1909,No,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 63",,
Wiley,Oklahoma,US-OK,34.2775,-96.56389,N/A,1865-1920,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,https://www.okhistory.org/publications/enc/entry.php?entry=AL009 ,
Wybark,Oklahoma,US-OK,35.811518,-95.331651,1890,1890-1899,No,No,N/A,"TOLSON, ARTHUR LINCOLN. ""THE NEGRO IN OKLAHOMA TERRITORY, 1889-1907; A STUDY IN RACIAL DISCRIMINATION "" Diss. 1966: 65",https://www.okhistory.org/publications/enc/viewer?entry=AL009&id=26000#page/0/mode/1up  http://www.african-nativeamerican.com/6-towns.htm ,
Wewoka,Oklahoma,US-OK,35.149444,-96.494444,1849,1840-1849,No,No,N/A,"http://www.african-nativeamerican.com/6-towns.htm  https://www.britannica.com/place/Wewoka  https://www.seminolenationmuseum.org/history/wewoka-community/   https://www.okhistory.org/publications/enc/entry.php?entry=WE023  https://en.wikipedia.org/wiki/Wewoka,_Oklahoma  https://www.okhistory.org/publications/enc/entry.php?entry=HO033 ",,
Yahola,Oklahoma,US-OK,35.762599,-95.606935,N/A,1865-1920,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,https://www.okhistory.org/publications/enc/viewer?entry=AL009&id=26000#page/0/mode/1up  ,
Zion,Oklahoma,US-OK,35.9561537,-97.652548,N/A,1865-1890,No,No,N/A,https://storymaps.arcgis.com/stories/a007d4b62a7a4ef89c4e841f02726f1f,https://www.okhistory.org/publications/enc/entry.php?entry=AL00 ,
Wilberforce Colony (Canada),Ontario,CA-ON,43.2,-81.383333,1831,1830-1839,Unsure,No,N/A,"Taylor, N. (2002). Reconsidering the ""Forced"" Exodus of 1829: Free Black Emigration from Cincinnati, Ohio to Wilberforce, Canada. The Journal of African American History, 87(3), 283-302;",historic map: https://www.raremaps.com/gallery/detail/68938/shows-the-wilberforce-colony-upper-canada-tanner,https://www.canadianmysteries.ca/sites/donnellys/archives/books/1454en.html
Dawn Settlement (Canada),Ontario,CA-ON,42.5924,-82.1954,1841,1840-1849,No,No,N/A,https://www.heritagetrust.on.ca/en/plaques/the-dawn-settlement,https://josiahhensonbio.weebly.com/the-dawn-settlement.html,
Elgin/ Buxton (Canada),Ontario,CA-ON,42.3084471,-82.2413206,1848,1840-1849,Unsure,No,N/A,http://www.buxtonmuseum.com/history/virtual-elgin-settlement.html,,
Vanport,Oregon,US-OR,45.5985238,-122.6955226,1942,1940-1949,No,No,N/A,"Geiling, N. (2015 Feb 15). How Oregon's Second Largest City Vanished in a Day. Smithsonian Magazine. link.",,
Bennettsville,South Carolina,US-SC,34.617201,-79.6879254,1819,1810-1819,Yes,No,N/A,The Gulf and Shiloh Baptist Church - http://visitbennettsville.com/points/ and https://greenbookofsc.com/locations/the-gulf-2/,,
Myrtle Beach/ North Myrtle Beach,South Carolina,US-SC,33.7045233,-78.8790224,1934,1930-1939,Yes,Yes,1938,"Stokes, B. F. (2007). Myrtle Beach: A History, 1900-1980. Univ of South Carolina Press.","Stephens, R. J. (2020, February 8). Atlantic Beach, South Carolina (1966- ). BlackPast.",https://www.visitmyrtlebeach.com/blog/post/african-american-cultural-sites-along-the-grand-strand/
Atlantic Beach (The Black Pearl),South Carolina,US-SC,33.802778,-78.716944,1966,1960-1969,Yes,No,N/A,"Stephens, R. J. (2020, February 8). Atlantic Beach, South Carolina (1966- ). BlackPast.",The History of Atlantic Beach.,
Lincolnville,South Carolina,US-SC,33.006904,-80.155437,1860s,1860-1869,Yes,Yes,1889,"Lincolnville, SC.",,
Mitchelville,South Carolina,US-SC,32.237317,-80.687029,1863,1860-1869,No,No,N/A,"Trinkley, M. (1987). The lifestyle of freemen at Mitchelville, Hilton Head Island: Evidence of a changing pattern of Afro-American archaeological visibility. Columbia, SC: Chicora Foundation, Inc.",Freedmen's Town of Mitchelville: Gullah of Hilton Head Island SC.,
Promised Land (Promiseland),South Carolina,US-SC,34.131389,-82.238333,1860s,1860-1869,Yes,No,N/A,"Bethel, E. R. (1997). Promiseland: A century of life in a negro community. Columbia, SC: University of South Carolina Press.",https://www.usnews.com/news/best-states/south-carolina/articles/2021-02-15/promised-land-a-place-to-call-home,
Sully County Colored Colony (Blair Colony),South Dakota,US-SD,44.560865,-100.3294469,1882,1880-1889,No,No,N/A,"Saxman, M. (2005). To Better Oneself: Sully County's African-American ""Colony"". South Dakota State Historical Society.; Edwards, R. (2019). African Americans and the Southern Homestead Act. Great Plains Quarterly, 39.2.; Edwards, R. & Friefeld, J. K. (2019). African American Homesteader 'Colonies' in the Settling of the Great Plains, Great Plains Quarterly, 39.1.",https://www.nps.gov/places/sully-county.htm; Black Homesteaders Project UNL - https://www.unl.edu/plains/homesteading-research,https://www.sdpb.org/blogs/images-of-the-past/black-settlers-of-the-great-plains/ ; The Black Past - https://www.blackpast.org/african-american-history/blair-norvel-1825-1916/
Free Hill,Tennessee,US-TN,36.562222,-85.492222,1816,1810-1819,No,No,N/A,"Kharif, W. R. (2018, March 1). Free Hill. Tennessee Encylcopedia.; Olson, T., & Cavender, A. P. (Eds.). (2009). A Tennessee folklore sampler: selections from the Tennessee folklore society bulletin, 1935-2009. Univ. of Tennessee Press.","Garrison, J. (2016, July 9). African American Colony at Hortense TN.",
Hortense,Tennessee,US-TN,36.147704,-87.438895,1890s,1890-1899,No,No,N/A,BLACK TOWNS TENNESSEE,African American Colony at Hortense TN.,
New Bedford,Tennessee,US-TN,35.510501,-86.7302291,N/A,1877-1915,No,No,N/A,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana: Univ. of Illinois Press.",,
Africa (Webb or St. John's),Texas,US-TX,31.763074,-94.144146,1860s,1860-1869,Yes,No,N/A,"Harper, C. (2010, June 9). AFRICA, TX. Handbook of Texas Online.","Tatum, C. E. (1984). Shelby County, in the east Texas hills. Austin, TX: Eakin Publications.",https://www.toledo-bend.com/shelbyco/history/africa/
Andy (Cuney),Texas,US-TX,32.03222,-95.4175,1870,1870-1879,Yes,Yes,1983,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.","Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.",https://www.tshaonline.org/handbook/entries/cuney-tx
Barrett Station (Texas Century Farm),Texas,US-TX,29.871849,-95.062065,1889,1880-1889,Yes,No,N/A,"Kleiner, D. J. (2010, June 12). BARRETT, TX. Handbook of Texas Online.",,
Booker,Texas,US-TX,36.453333,-100.5375,N/A,1877-1915,Yes,No,N/A,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.","Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.",
Cologne (Perdido Community),Texas,US-TX,28.705556,-97.181389,1870,1870-1879,Yes,No,N/A,"Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.","Roell, C. H. (2010, June 12). COLOGNE, TX. Handbook of Texas Online.",
Deep Ellum,Texas,US-TX,32.78448,-96.780606,1865,1860-1869,Yes,No,N/A,"Maxwell, L. C. (2010, June 12). DEEP ELLUM. Handbook of Texas Online.","Velin, G. (1970, January 1). Dallas Freedman's Town: One Community's Preservation Within a Gentrified Environment.",
Ellis Alley Enclave,Texas,US-TX,29.424243,-98.479864,1860s,1860-1869,No,No,N/A,The Cultural Landscape Foundation. Ellis Alley Enclave and the Samuel and Lillian Sutton Home.,"Ellis Alley Enclave, 200 blocks of Ellis Alley & Chestnut & Center Streets, San Antonio, Bexar County, TX. Library of Congress. https://www.loc.gov/item/tx0981/",
Elm Thicket,Texas,US-TX,32.844181,-96.828681,1900,1900-1909,Yes,No,N/A,"Price, B. Elm Thicket Northpark Neighborhood Plus Target Area.",https://www.thetexasfreedomcoloniesproject.com/atlas,https://www.youtube.com/watch?v=6ZUGHnCYMZE&list=PLphuYlEyPdPS3Z9cEFoTTRiK0joNNMMiq
Fourth Ward (Freedmen's Town),Texas,US-TX,29.757431,-95.380506,1865,1860-1869,Yes,No,N/A,"Wintz, C. D. (2017, February 15). FOURTH WARD, HOUSTON. Handbook of Texas Online.",,
Independence Heights,Texas,US-TX,29.828427,-95.397701,1908,1900-1909,Yes,Yes,1915,"Hamilton, K. M. (1991). Black towns and profit: promotion and development in the Trans-Appalachian West, 1877-1915. Urbana u.a.: Univ. of Illinois Press.","Taylor, Q. (1999). In search of the racial frontier: African Americans in the American West, 1528-1990. New York: Norton.",https://kinder.rice.edu/urbanedge/2019/06/17/houston-i-45-project-txdot-independence-heights
